,dtype,count,mean,std,min,max
 Destination Port,int64,2830743.0,8071.482501237308,18283.63217237561,0.0,65535.0
 Flow Duration,int64,2830743.0,14785663.929521684,33653744.08585523,-13.0,119999998.0
 Total Fwd Packets,int64,2830743.0,9.361159949878884,749.6727924980048,1.0,219759.0
 Total Backward Packets,int64,2830743.0,10.393770116185044,997.3882689050921,0.0,291922.0
Total Length of Fwd Packets,int64,2830743.0,549.3024145957439,9993.589229393498,0.0,12900000.0
 Total Length of Bwd Packets,int64,2830743.0,16162.64254649751,2263088.051725944,0.0,655453030.0
 Fwd Packet Length Max,int64,2830743.0,207.59994107554095,717.1848417583044,0.0,24820.0
 Fwd Packet Length Min,int64,2830743.0,18.713656096650244,60.33934535101894,0.0,2325.0
 Fwd Packet Length Mean,float64,2830743.0,58.20193852812372,186.09115654962315,0.0,5940.857143
 Fwd Packet Length Std,float64,2830743.0,68.91013354422385,281.18709207898524,0.0,7125.5968458437
Bwd Packet Length Max,int64,2830743.0,870.849454719132,1946.3673768747033,0.0,19530.0
 Bwd Packet Length Min,int64,2830743.0,41.049579209416045,68.86260264724743,0.0,2896.0
 Bwd Packet Length Mean,float64,2830743.0,305.94928134992875,605.2568001421855,0.0,5800.5
 Bwd Packet Length Std,float64,2830743.0,335.3257206074605,839.6932177113689,0.0,8194.660487
Flow Bytes/s,float64,2829385.0,inf,,-261000000.0,inf
 Flow Packets/s,float64,2830743.0,inf,,-2000000.0,inf
 Flow IAT Mean,float64,2830743.0,1298448.708665391,4507944.173794317,-13.0,120000000.0
 Flow IAT Std,float64,2830743.0,2919270.91875488,8045869.77965458,0.0,84800261.5664079
 Flow IAT Max,int64,2830743.0,9182475.317050682,24459539.2508425,-13.0,120000000.0
 Flow IAT Min,int64,2830743.0,162379.56178430893,2950281.7768057273,-14.0,120000000.0
Fwd IAT Total,int64,2830743.0,14482961.734189222,33575811.64646707,0.0,120000000.0
 Fwd IAT Mean,float64,2830743.0,2610192.973542325,9525722.485326516,0.0,120000000.0
 Fwd IAT Std,float64,2830743.0,3266957.2220508317,9639055.400348762,0.0,84602929.2769822
 Fwd IAT Max,int64,2830743.0,9042938.558814418,24529157.399698887,0.0,120000000.0
 Fwd IAT Min,int64,2830743.0,1021892.905134447,8591436.338554349,-12.0,120000000.0
Bwd IAT Total,int64,2830743.0,9893830.350136695,28736614.19888721,0.0,120000000.0
 Bwd IAT Mean,float64,2830743.0,1805783.7673780406,8887197.079007307,0.0,120000000.0
 Bwd IAT Std,float64,2830743.0,1485973.3473393081,6278468.565082394,0.0,84418013.7826341
 Bwd IAT Max,int64,2830743.0,4684692.427954428,17160950.058626805,0.0,120000000.0
